"Serial","Name","Name_NoPunct","Location","Subloc","AltNames","AltNames_NoPunct","Length","Depth","Altitude","NGRSquare","NGREastings","NGRNorthings","OSGB36Eastings","OSGB36Northings","WGS84Latitude","WGS84Longitude","Description","Notes","Links","RegNotes","LocNotes","HydroFeed","HydroResurg","Geology","Registry","Tags","EditTime","EditAuthor"
"539","Seal Cave [Arbroath]","Seal Cave Arbroath","Angus","Arbroath, Seaton Cliffs, nr The Deil's heid","Doo Cave, Arbroath Cave [16]","Doo Cave Arbroath Cave 16",NULL,NULL,NULL,"NO","67003","41839","367003","741839","56.5673384029159","-2.53855719366769","Sea Cave","Location from unattributed and not to scale plan of caves of Arbroath. Coordinates from Streetmap.","Streetmap.",,"67003    41839    6",,,,"main","Cave;SeaCave","2020-09-22 14:35:50","jcrae"
"1145","Ossicular Hole","Ossicular Hole","Perthshire","Schiehallion, NW of Trinafour, Meall Dail-chealach",,,"12","2","450","NN","71912","66438","271912","766438","56.77185616986563","-4.097451964764845","A rather squalid entrance, floored with heavy duty polythene bags containing sheep carcasses. Entire entrance 'chamber' filled with substantial heaps of bones & damp, humus-like material probably remains of soft decomposition.  To left 2 voids quickly choked off with earth. Way on to right, down noxious slope into a triangular passage some 3 m long. End pinched out by boulders, but water heard below & to left. Digging not attractive.","From Calvine on A9, follow B847 to Trinafour. Turn right & drive N up un-designated tarmac road (General Wade's Military Road) past Loch Errochty & substantial dam to W. After steep Z-bends road levels and small lake seen adjacent to left side of road. This is Maud Loch, created by an earth dam, where cars may be parked off the road. Alternatively (for slightly faster approach), proceed N on A9 until Drumochter dual carriageway. Turn for Trinafour signposted almost at once & loch lies some four miles down road. By walking across dam & skirting small hillock beyond, outcrops of limestone soon seen. Access from this point made easier by rough vehicular track. Walk NW until, about ½ km onwards, single wooden post stands as marker. Just beyond is shallow valley running W & about 80 m up this a stream sink (more limestone may be found beyond immediate hillsides). 3rd shake from sink contains open entrance.

Nov 2008 - length update. 

Briefly revisited on weekend of GSG Annual Dinner 2017. No change at entrance (and no underground investigation). Possible that this the upstream end of a more recent find called 'Little Rock'.","GSG Bul. Series 4, vol., 3 , no. 5, pp. 23, 24 (S). Jeffreys, A., 2008, Caves at Trinafour.
GSG Bull. Series 4 Vol.4 No.1 (2009) p.10",,"NN 71500 67100. Accuracy 6. Description matches but coordinates are dubious. Actual position probably some 200 m south. Corrected position from GPs 22 June 2018.",,,"Limestone, Schist","main","Cave","2019-02-28 19:35:19","jcrae"
"4753","* Cave (Jura)"," Cave Jura","Argyllshire","Jura, Ardlussa, Traigh an Airgid",,,NULL,NULL,NULL,"NR","65228","88062","165228","688062","56.027753514783825","-5.769502870010239",,,"Pastmap",,,,,,"main","Cave","2019-09-19 16:02:54","jcrae"
"4019","*Caves","Caves","Wester Ross","Outer Hebrides, Lewis, NW of Tolsta Head, Tealair",,,NULL,NULL,NULL,"NB","55347","47441","155347","947441","58.3469724402802","-6.18275090713683","Sea Caves",,,,"55347    47441    6",,,,"second","SeaCave","2018-03-26 09:50:44","alanj"
"3178","Rosehall Cave","Rosehall Cave","Ross & Cromarty","Strath Oykel, Strathcarron, n of Meall Dheirigh",,,NULL,NULL,NULL,"NH","48000","96000","248000","896000","57.9273527915605","-4.56829107871113","Cave",,,,"48000    96000    4",,,,"second","Cave","2018-03-26 10:15:32","alanj"
"375","Birkhill no 3 Fire Clay Mine","Birkhill no 3 Fire Clay Mine","West Lothian","NW of Linlithgow, River Avon, Birkhill",,,"2000",NULL,"20","NS","96400","78920","296400","678920","55.9920159307955","-3.66238727427577","Mine",,"GSG Bulletin 2.5.1. Dec/1986, p. 26.",,"96400    78920    8",,,"Fire Clay","second","Mine;ManMade;Archaeo","2018-04-05 18:24:34","jcrae"
"4774","* Cave (Leirinbeg) [2]"," Cave Leirinbeg 2","Sutherland","Leirinbeg",,,"2","4","5","NC","41888","67850","241888","967850","58.569827949841425","-4.720327283260628","Tight slot with water breaking into the entrance even at low tide.","Visited by John Crae, 26/10/2019. Needs rope and harness and someone braver than me.",,,,,,,"second","Cave;SeaCave","2019-10-29 12:44:43","jcrae"
"3284","Yell [Overview]","Yell Overview","Shetland","Yell",,,NULL,NULL,NULL,"HU","49650","90100","449650","1190100","60.5912727955271","-1.09547786106093","Generic. Relating to the caves and natural arches on the island of Yell, one of the Shetland Islands.",,,,"49650    90100    4",,,"Moine Schist","second",,"2019-08-05 14:49:29","jcrae"
"1968","Bullionfield Souterrrain","Bullionfield Souterrrain","Angus","Liff and Benvie",,,NULL,NULL,NULL,"NO","34300","30500","334300","730500","56.4620433228165","-3.06777658898044","Souterrain",,"CoSBib, p. 35.",,"34300    30500    6",,,,"second","ManMade;Archaeo","2018-03-19 18:13:33","jcrae"
"1774","Abhainn Ghil (Uamh)","Abhainn Ghil Uamh","Argyllshire","Islay, Lower Killean","Uamh Abhainn Ghil, River Valley (Cave of the), Cave of the River Valley","Uamh Abhainn Ghil River Valley Cave of the Cave of the River Valley","6",NULL,"5","NR","27500","43500","127500","643500","55.6085627664443","-6.32854559442437","Cave",,"GSG Bulletin 2.3.3. (1981), pp. 51-58.",,"27500    43500    6",,,,"main","Cave","2018-03-08 17:54:12","jcrae"
"4512","Pot Hole","Pot Hole","Argyll","Coie Mulrooney",,,NULL,"7","545","NN","032","512","203200","751200","56.6112259859057","-5.208434614196582","Shaft near Coire Mulrooney",,"Univ. Coll. London SS Expedition to Scotland 1972, p.32",,,,,"Metamorphosed limestone","main","Shaft","2018-04-10 09:59:42","alanj"
"2307","Golspie [Overview]","Golspie Overview","Sutherland","Golspie, Cagar Feosaig","Golspie Fissure Caves, Gillander's Cave  [1 & 2], Uaigh Mhic Ghil Anndreis [1 & 2], Mhic Ghil Anndreis (Uaigh) [1 & 2]","Golspie Fissure Caves Gillanders Cave  1  2 Uaigh Mhic Ghil Anndreis 1  2 Mhic Ghil Anndreis Uaigh 1  2",NULL,NULL,NULL,"NC","83700","03100","283700","903100","58.0018367069175","-3.96943725264182","2 small fissure caves.","See also Gillander's cave 1 & 2.

Investigated 1965 by Les Henderson & Alan Jeffries.

Lengths shown in entries for individual caves.","Caves of Scotland Bibliography, pp. 88 & 90.

GSG Bulletin 2. 3.1., pp. 27-28. 1 of 2 small fissure caves, Uaigh Mhic Ghil Anndreis 1 & 2. 

Royal Commission of Ancient and Historic Monuments in Scotland.  Inventory of Monuments in the county of Sutherland 1911.  103, 303

[Old of 1st] Statistical Account 1791-99, pp. 21, 225.",,"83700    03100    6",,,"Lower Oolitic Sandstone","second",,"2019-01-29 11:35:34","jcrae"
"621","Creag nan Uamh Bone Cave [6]","Creag nan Uamh Bone Cave 6","Sutherland","Assynt, Alt Nan Uamh",,,NULL,NULL,"305","NC","26894","16973","226894","916973","58.1077836289115","-4.93957950462104","Cave","See also Creag nan Uamh Bone Caves.","Caves of Assynt, p. 44.",,"26894    16973    10",,,"Limestone","main","Cave;Archaeo;SSSI;SAM","2018-01-29 17:08:21","jcrae"
"1586","Kettle's Cave","Kettles Cave","Invernessshire","North Uist, Tigharry","Kettle Spout (The), Slochd a' Choire, Spouting Kettle, Kettle Pit","Kettle Spout The Slochd a Choire Spouting Kettle Kettle Pit",NULL,NULL,NULL,"NF","70540","72768","70540","872768","57.62402646947445","-7.521202592657292","Sea Cave and Natural Arch in the cliffs between the beaches at Hoglan and Traigh s'Tir.


The blow-hole of Kettle Spout as it is known locally consists of a narrow arch bridging a deep chasm over the Atlantic waves. In very stormy weather fountains of water gush forth from this orifice. The approach to the blow hole should be treated with caution, the rocks are sloping and slippery, and a fall from these cliffs could prove fatal.
In the months of May and June beware also of an electric fence erected to contain livestock in the area (NF 705 727). [Mike Townsend]

The website for Kettle Cottage at Holgan Bay mentions the cottage [Taigh a' Choire (Kettle House)] takes its name from the nearby natural arch and blow hole, the ""Spouting Kettle"" or ""Slochd a Choire"" in Gaelic. Atlantic storms force huge waves into the cave causing the sea to spout into the air through the blow hole, hence the name.","Slochd na Choire - Signifies ""The Kettle pit"" and is applied to a large hole in the rock of considerable depth. It is above high water mark and the sea has access to it at high water. [addendum ""Situated in the rock north of ""Garry Gaal"".] [OS Name Book, Scotland's Places]

Tigharry or Tigh a' Ghearraidh is the house on the rock. Past the drowned village in Loch Hosta in the cliffs across the road is a spouting cave.","OS 6"" map Invernessshire Sheet XXXIII (includes: North Uist)
Survey date: 1876   Publication date: 1881 
Lat/Long 57°36′N 7°31′W [I read this as 57°37′30""N 7°31′15""W] / 57.6°N 7.517°W. [NGR NF 70540,872768]

OS 25"" map Inverness-shire - Hebrides XXXIII.3 (North Uist)
Survey date: 1878   Publication date: 1879
shows same location.

Haswell-Smith, Scottish Islands, 7.15  [according to my copy of Scottish Islands this should be 7.16 (p.199), Tigharry or Tigh a' Ghearraidh is on the west coast of North Uist]. Coordinates for chambered cairns at South Clettraval given as NF 749 714 [this is some distance from Tigharry].

Wikipedia

Scotlandsplaces


Streetmap NF 070536,872772

http://books.google.co.uk/books?id=RQLQh_mIfKIC&pg=PA74&lpg=PA74&dq=%22kettle+Spout%22+Uist&source=bl&ots=raVAKUl7eE&sig=ycUo5AbZMc_jiQ6Bmt9H4YgoaYA&hl=en&sa=X&ei=T2Q0U-PbD8G30QWOkIDAAg&ved=0CCwQ6AEwAA#v=onepage&q=%22kettle%20Spout%22%20Uist&f=false, Mike Townsend, Walking on Uist and Barra, pp. 74-75. This relatively short walk visits an impressive coastal feature eroded from the cliffs of North Uist. 

Information from Ben [?].","From Ben - Body: The grid ref for this entry is incorrect. It is at NF70257270. It's not far away, but as the area given by you is very rough rocky shoreline, those looking for it will be put at risk by being in the wrong place. [This seems to be west of Geo a' Choip while Kettle's Cave is East of Geo Mhail]","Previously at NF 70787    72747 to 6 digits.",,,,"main","Cave;Arch;SeaCave","2020-09-04 22:17:54","jcrae"
"711","Dun a' Chail (Uamh)","Dun a Chail Uamh","Argyllshire","Islay, Lagg an Bay, near Kintra,Dun a' Chail","Uamh Dun a' Chail, Dun a' Chail Cave, Dun a' Chad (Uamh), Dun a' Chad Cave","Uamh Dun a Chail Dun a Chail Cave Dun a Chad Uamh Dun a Chad Cave",NULL,NULL,NULL,"NR","31500","47980","131500","647980","55.6509271734926","-6.26959946737315","Cave, inaccessible.","Is this a reference to Chads (cartoon figures of a head peering over a wall)? Or is it a proper Gaelic name?
 
Dun a Chad appears to be a misprint. The cave seems to be associated with the nearby dun or fort called Dun a' Chail.

If Gaelic, it should have be Dun a' Chad. No translation found for chad but it could have been a corrupt spelling. Dun a' Chail (in ICP 2002 and shown on Streetmap) is a more likely spelling.","Discovery & Excavation, New Series Volume 3, 2002, p. 17. 

Islay Caves Project, 2002.

Lamont, W D. (1962) Kildalton area', Discovery Excav Scot, 1962. Page(s): 20

RCAHMS. (1984a) The Royal Commission on the Ancient and Historical Monuments of Scotland. Argyll: an inventory of the monuments volume 5: Islay, Jura, Colonsay and Oronsay. Edinburgh. Page(s): 109-10, No.197 RCAHMS Shelf Number: A.1.1.INV/23",,"31500    47980    8",,,,"main","Cave","2020-10-05 11:16:16","jcrae"
"134","Devil's Footsteps","Devils Footsteps","Wigtownshire","Burrow Head","Devil's Bridge?","Devils Bridge",NULL,NULL,NULL,"NX","46050","34200","246050","534200","54.67926172631649","-4.389320914385465","Not sure if there is a cave at this location. The name Devil's Bridge actually applies not to a cave but to a natural arch just offshore. The Devil's Footsteps are hollows in the flat rock supposed to resemble cloven hoofs.","Galloway ghost story. 'There is one story in particular of this class which Mr. Harper might safely have put in, for there is ""monumental evidence"" of its truth. On a flat rock beneath Burrow Head the cloven footprints of the Devil are plainly to be seen, and beside them are the footprints of a man; and stretching out into the sea from the flat rock are two or three rocky arches of a bridge. It was here that the Devil and Michael Scott danced together to celebrate the beginning of a bridge which the Devil was ging to build for Michael Scott across to the Isle of Man; but they quarrelled, and the bridge never got beyond the third arch. Mr. Harper makes no mention of the ""Devil's Footsteps"" in his account of the Burrow Head. It would surely have been good for the traveller, conducted by Mr. Harper to the edge of the great cliff with which Scotland ends, to know , or of Mr. Harper, in spite of the ""monumental evidence"" objects to the word - to believe, at least for a little while, that the Great Magician was here too, whose ""words cleft Eildon hills in three,"" who Dante saw in Hwll: ""Michele Scotto ... che veramente Delle magiche frode seppe il giuoco.""

About 25 Chains S.W [South West] by W [West] of the Sheriff.
This name applies to a flat rock at the bottom of a precipice & near the high water mark having on its surface several impressions resembling the prints of a persons left foot and are of different sizes some of these have been quarried & sent to London as a natural curiosity. [Scotland's Places]","6"" OS 1909, Sheet 35, Wigtownshire SE, 54° 40' 13""N, 4° 23' 48.8""W.  

6"" OS 1909, Sheet 35 Wigtownshire, SE 54° 40' 45""N, 4° 23' 16""W. 

OS Auto Lat/Long conversion to NGR.

Old Statistical Account vol. 4. p. 53.

https://scotlandsplaces.gov.uk/digital-volumes/ordnance-survey-name-books/wigtownshire-os-name-books-1845-1849/wigtownshire-volume-85/64. Scotland's Places, George McKie, David McMonies, George McHaffie Esqr.

The Academy (Oct 31, 1896), p. 325. Review of Rambles in Galloway by Malcolm McL. Harper.",,"Original coordinates NX 45530 33220 place this off the coast. Alternative Locations NX [46050] [34200] and NX [45580]  [34100]",,,"Ross Formation - Wacke","main","Cave","2020-10-14 22:58:56","jcrae"
"4515","Reraig Caves","Reraig Caves","Ross and Cromarty","Balmacara Bay",,,NULL,NULL,NULL,"NG","80827","81227","180827","881227","57.76698434492302","-5.686687609830727",,,"Bull. GSG 2nd Series Vol.2 No.3 (1978) p8",,"Several abandoned sea caves, partly destroyed by road widening",,,,"main","SeaCave","2018-04-15 12:47:22","alanj"
"852","Gravel Scoop Cave","Gravel Scoop Cave","Wester Ross","Kishorn, Coille Dubh, W of Allt a' Chnoic Ghuirm, N of Cnoc Gorm",,,NULL,"5","330","NG","87752","44875","187752","844875","57.4444169048332","-5.538668196004","Cave",,"Caves of Applecross & Kishorn, p. 32.",,"87752    44875    10
Mar 2008 - updated position.",,,"Limestone","main","Cave","2018-02-02 19:08:31","jcrae"
"2123","Cromarty Sutors [Overview]","Cromarty Sutors Overview","Ross & Cromarty","Cromarty","Sutters of Cromartie (Cave of), Eathie Burn Caves, Cromarty Sutors (Caves of)","Sutters of Cromartie Cave of Eathie Burn Caves Cromarty Sutors Caves of",NULL,NULL,NULL,"NH","80500","67400","280500","867400","57.6805278415067","-4.00564517088016","Generic",,"Caves of Scotland Bibliography, pp. 57-58.

Baxter 525

Brown, P Hume 1893 Scotland before 1700 from contemporary documents  368  David Douglas, Edinburgh  76, 145

Bond, Miss, ND Letters of a Village Governess, illus

Kempe 407 Doocot or Pigeon (sometimes Dowcate ) Cave.  150 feet long along a fault line and accessible only by boat - and then with some effort.  It has the remains of a wall built by some entrepreneur to guard for himself the - probably wild - birds.

Marshal;, Elizabeth 1973 [revised ed pub 1986]  The Black Isle a portrait of the past.  42-43

Miller 1835 48 Cave at Sutors, 69 Morial's Den, 81-82 Witch's Hole, 172-127 cave, 202 Smugglers Cave, 280, 283, 314-324, Dropping Cave, 325 Fiddlers Well.

Miller, Hugh 1877 The Old Red Sandstone... 385 & 16, illus.  William P Nimmo, London.  Cave 131 footnote.

Miller, Hugh 1891 My Schools and Schoolmasters or the Story of my Education.  562.  William P Nimmo, Hay & Mitchell, Edinburgh.  71-84

Muirhead 1947 395 Eathie Burn Caves, best seen from the sea.

Pennant 1774  183-4  Sutters of Cromartie

Scots Mag 97 (6) Sept 1972 590-592.Dropping Cave and MacFarquhar.

Southey  121

St John, Charles 1980 [reprint, 1st ed 1919] Wild Sport & Natural History of the Highlands.  James Thin, The Mercat Press, Edinburgh.  196-198

St John, Charles 1982 A Scottish Naturalist / The Sketches and Notes of Charles St John 1809-1856.  [compiled from the 3 published books by St John + unpublished illustrations].  Andre Deutsch, London.  107-109

Statistical Account 1791-99    12 246  ""Cromarty      Ross and Cromarty, Cromarty.  A large rock arch - M'Farquhar's Bed, natural arch which allows the sea to pass in and out.  Nearby is a cave close by the sea, with a man-sized entrance.  Inside there are numerous stalactites.  ""The cave is quite accessible and is truly a curious phenomenon"".

Willis, Douglas P, 1989 Discovering The Black Isle.  John Donald Publishers Ltd, Edinburgh.  153,",,"80500    67400    6",,,,"second",,"2019-01-29 11:27:40","jcrae"
"3354","Tantallon Cave","Tantallon Cave","East Lothian","North Berwick",,,NULL,NULL,NULL,"NT","60000","84700","360000","684700","56.05347579205","-2.64381106400231","Sea Cave",,,,"60000    84700    6",,,,"second","SeaCave","2018-03-26 12:41:35","alanj"
"3362","*Caves","Caves","Argyllshire","Texa, near Islay",,,NULL,NULL,NULL,"NR","39645","43836","139645","643836","55.6182205536127","-6.13659095081805","Caves",,,,"39645    43836    8",,,,"second","Cave","2018-03-26 12:42:38","alanj"
"2823","*Natural Arch","Natural Arch","Orkney","The Gloup, Mucklehouse, Brims, Hoy",,,NULL,NULL,NULL,"HY","28315","88335","328315","1088335","59.6744103996886","-3.27449678708851","Natural Arch",,,,"28315    88335    6",,,,"second","Arch","2018-03-25 09:06:49","alanj"
"2968","Port Ceann an t-Salainn North Boulder Cave","Port Ceann an tSalainn North Boulder Cave","Argyllshire","Knapdale",,,NULL,NULL,NULL,"NR","73500","75500","173500","675500","55.9190957456976","-5.62648167395535","Boulder Cave",,,,"73500    75500    8",,,,"second","Cave","2018-03-26 09:40:34","alanj"
"3085","Castle Cave","Castle Cave","Aberdeenshire, Banffshire","Portknockie, Tronach Head",,,NULL,NULL,NULL,"NJ","47740","68650","347740","868650","57.7046019767857","-2.87856968087185","Sea Cave",,,,"47740    68650    8",,,,"second","SeaCave","2018-03-26 10:07:11","alanj"
"703","An Leth-chreag  Natural Arch","An Lethchreag  Natural Arch","Ross & Cromarty","Gairloch/ Camas an Fhraoich",,,NULL,NULL,NULL,"NG","75404","91857","175404","891857","57.859573281021454","-5.787630883324557","Natural Arch between Camas an Fhraoich and Canmas Mor.",,"Ross-shire & Cromartyshire (Mainland), Sheet XIXA (includes: Gairloch)

Streetmap.

Pastmap OS 10k background mapping.",,"NG 75383 91865 to 6 digits.
Amended coordinates from Pastmap.",,,,"main","Cave;Arch;SeaCave","2020-10-04 21:13:17","jcrae"
"3774","Netherton Mine","Netherton Mine","Lanarkshire","Auchenheath","Netherton Lime Works Pit No,. 3 , Auchenheath Tile Works Level, Nethertown","Netherton Lime Works Pit No 3  Auchenheath Tile Works Level Nethertown",NULL,NULL,NULL,"NS","81125","43112","281125","643112","55.6669167505079","-3.89144208752361","Quarry, Mine",,,,"81125    43112    6",,,"Limestone","second","Mine;Quarry;ManMade;Archaeo","2018-03-26 16:51:02","jcrae"
"4969","Jivy Geo Cave [2]","Jivy Geo Cave 2","Shetland","Fair Isle, Jivy Geo",,,NULL,NULL,NULL,"HZ","22295","73578","422295","1073578","59.54750282495902","-1.6074393639848552","Sea Cave at the base of steep cliffs, north of Jivy Geo.",,"Bing Maps, aerial photography.

Pastmap.",,,,,,"main","Cave;SeaCave","2020-09-19 19:19:49","jcrae"
"4398","Borough Head [Overview]","Borough Head Overview","Wigtownshire","Whithorn Parish, Luce Bay, Borough Head, Burrow Head","Burrow Head Caves","Burrow Head Caves",NULL,NULL,NULL,"NX","45800","34050","245800","534050","54.67783841664399","-4.3931154558252485","Generic, see also Burrow Head Caves.","Do not confuse with Burghhead Caves, Morayshire.","Pastmap.",,,,,,"second","Other","2020-09-27 14:06:49","jcrae"
"2703","English Hole","English Hole","Orkney","Westray, south of Hass of the Stack Lighthouse",,,NULL,NULL,NULL,"HY","39240","49630","339240","1049630","59.3286535979242","-3.06951939045179","Sea Cave",,,,"39240    49630    8",,,,"second","SeaCave","2018-03-24 13:31:04","alanj"
"2320","Glendrian Cave","Glendrian Cave","Invernessshire","Ardnamurchan",,,NULL,NULL,NULL,"NM","46300","70800","146300","770800","56.759521482554","-6.15249350864228","Cave",,"Bull. GSG 2nd Series Vol.1 No.5 (1977)p.23",,"46300    70800    6",,,,"second","Cave","2018-04-10 10:07:50","alanj"
"2477","Kinnaird Castle Passage","Kinnaird Castle Passage","Perthshire","Ashintully",,,NULL,NULL,NULL,"NO","09000","71700","309000","771700","56.8278391202779","-3.49275874829807","Tunnel",,,,"09000    71700    6",,,,"second","Tunnel","2018-03-23 12:18:07","alanj"
"4639","Preaching Cave","Preaching Cave","North Ayrshire","Arran",,,NULL,NULL,NULL,"NR","89976","26581","189976","626581","55.48777759638269","-5.32580608061529","A raised beach cave south of Kilpatrick Point on the west coast of Arran.","See also Uamh Nic-ille Ghuirm.","West of Scotland Archaeology Service (WoSAS) Pin:  54638.

Cressey, M. & Badger, S., 'Coastal Zone Assessment Survey: Kintyre & Isle of Arran', CFA Archaeology Ltd, 2004.

Canmore ID 39229. References to Preaching Cave in footnotes.",,,,,,"main","Cave","2018-06-05 18:22:24","jcrae"
"1988","Camas na h‑Uamha","Camas na h‑Uamha","Invernessshire","Skye, S of Dunvegan, Loch Varkasaig, Idrigill Point",,,NULL,NULL,NULL,"NG","25300","37600","125300","837600","57.3458234736565","-6.56792396576289","Caves",,"CoSBib, p. 38. Coordinates only.

Landranger 23.",,"25300    37600    6",,,,"main","Cave","2018-03-19 18:41:58","jcrae"
"2855","Creise (Sloc na)","Creise Sloc na","Argyllshire","Tiree, NE of Traigh Bail'-a-mhuiluin","Sloc na Creise","Sloc na Creise",NULL,NULL,NULL,"NL","95860","48260","95860","748260","56.5276355804689","-6.94799346058732","Sea Cave?",,,,"95860    48260    6",,,,"second","SeaCave","2018-03-25 09:09:26","alanj"
"1251","Root Tunnel","Root Tunnel","Argyllshire","Appin, Coire Sheilach, Allt Coire Sheileach",,,"5",NULL,"335","NN","03000","49600","203000","749600","56.5967904954473","-5.21046891087913","Cave","Coordinates match Allt Coire Sheileach Cave 1 [0233].","AppCGS, p. 11.",,"03000    49600    6",,,"Limestone","main","Cave","2018-02-12 12:46:51","jcrae"
"309","Grahamslaw [1]","Grahamslaw 1","Roxburghshire","Ecksford, Kale Water, 1 mile E of A68 beside B6401 to Yetholm",,,"6","2.6","100","NT","72300","27100","372300","627100","55.536829141023","-2.44045058440787","Rock Cut Chamber","Jim Salvona's notes claim this chamber was obviously excavated [archaeologically investigated]  by experienced party within last two years [c. 1958], 5' deep trench cut in floor.","British Caver, 1960. 

Caves of Scotland Bibliography, p. 91-92. 

Coles, F R 1911 Notice of rock-hewn caves in the valley of the Esk and other parts of Scotland.  PSAS 45 299-300.

Douglas, G, 1899 County Histories of Scotland. 

Forsyth, J, 1961 Grahamslaw Caves.  Scot Mag NS 75 (6) Sept.  485-488, illus .

Murray, (1894) Handbook for Scotland, reprinted 1971 David & Charles, Newton Abbot. 81.

Oldham, Tony 2007 The Remaining Caves of Scotland.  p.  25.

Somervill, Dr  1791  Account of the Parish of Jedburgh. 

Veitch's Border History 1 29. 

GSG Bull.etin 4.4.3., p. 7. Salvona Jim, Grahamslaw Caves. Reprinted from BC, 1960. 6' 6"" wide.",,"72300    27100    6",,,"Red Sandstone","second","ManMade;Archaeo","2018-04-03 17:00:18","jcrae"
"4090","*Cave","Cave","Argyllshire","Kintyre, Muasdale, Slavonga",,,NULL,NULL,NULL,"NR","67400","38900","167400","638900","55.5880224006848","-5.69270123552574",,,,,"67400    38900    6",,,,"second",,"2018-03-25 09:24:34","alanj"
"5006","Cousland Limestone Mine (Upper Quarry) [2]","Cousland Limestone Mine Upper Quarry 2","Midlothian","Cousland",,,NULL,NULL,NULL,"NT","37519","68282","337519","668282","55.903576291808214","-3.0008917290436843","Second upper quarry entrance to the lower section of Cousland Limestone Mine. 

Small tight squeeze at the top of a run in. Largely blocked by surface debris (cut tree branches, etc.).","See also Cousland Limestone Mine and Cousland Limestone Mine (Upper Quarry) [1].",,,,,,,"second","Mine;Archaeo","2020-09-26 13:21:36","jcrae"
"958","Kilbride [II]","Kilbride II","Invernessshire","Skye, Strath Suardal, Kilbride/ N of Loch Cill Chriosd","North Britain Burra Mine, Burra Mine, Anworth Mine","North Britain Burra Mine Burra Mine Anworth Mine",NULL,NULL,NULL,"NG","59200","20400","159200","820400","57.2108641812961","-5.98935228810249","Mine?","Sources suggest North Britain  Burra Mine is in SW Australia. Why it is associated with this site on Skye is as yet unknown.","aditnow. 

GMMoS, p. 33.",,"59200    20400    6",,,"Iron","second","Mine;ManMade;Archaeo","2018-02-05 16:51:27","jcrae"
"835","Southpark Rockshelter [2]","Southpark Rockshelter 2","Argyllshire","Inchmarnock","Site 9","Site 9",NULL,NULL,NULL,"NS","02020","58333","202020","658333","55.77767155613545","-5.1583602778577005","Cave, Rock Shelter

Site 9. Rock shelter, roughly 7.5m across and 5.5m wide, located in old cliff face above raised beach near SW corner of island. Trial trench evaluation across mouth of cave revealed a series of occupation deposits; environmental remains yielded a large quantities of marine shell, bone, charcoal and small quantity of charred hazel nutshells. Basal deposit in cave radiocarbon-dated to the period cal 346-4 BC. [Lowe 2008]

This rock-shelter is as previously described; another shelter (NS05NW 42) is situated some 180m to the E. [Visited by RCAHMS (GFG, MM, GB) 3 June 2009.]

Inchmarnock to west of Bute at northern end of Sound of Bute. Around 3.5 kilometres (2.2 mi) long and rises to height of 60 metres (197 ft). Island mainly single ridge running north to south. Partially wooded and has sea caves at  north and  south and two tiny lochans inland.","Primary deposits no older than Iron Age. Sediments dated to 346-4 BC.","https://en.wikipedia.org/wiki/Inchmarnock.

Geddes and Hale, G F and A G C. (2010) RCAHMS: The Archaeological Landscape of Bute. Edinburgh.

Lowe, Chris (2008), Inchmarnock. An Early Historic Island and its archaeological landscape, Society of Antiquaries of Scotland, pp. 13 (site map), 15, 58-59, 62-63.

Canmore ID  300171.",,"NS 02020 58340 to 8 digits.
Amended coordinates from Pastmap.",,,,"main","Cave;Archaeo","2020-10-05 17:11:55","jcrae"
"1913","Barr nam Fuaram South Rock Shelter [2]","Barr nam Fuaram South Rock Shelter 2","Argyllshire","Knapdale, N of Tayvallich","Barr nam Fuaram South Rockshelter [2]","Barr nam Fuaram South Rockshelter 2",NULL,NULL,"80","NR","74220","88850","174220","688850","56.0391403865839","-5.62618267431232","A small rock-shelter, north-westerly aspect, 2.8 m by 2 m with a maximum height of 1 m formed in massive screes along the west face of Barr nam Fuaran.","Traces of an arc of walling just beyond the drip line and a hearth centrally placed 0.8 m from the rear wall. [April 1987]","Caves of Scotland Bibliography, p. 26.

Tolan-Smith, Christopher, The Caves of Mid-Argyll, p. 19.",,"74220    88850    8",,,,"main","Cave;Archaeo","2018-03-16 18:46:27","jcrae"
"1928","Benachully [Overview]","Benachully Overview","Perthshire","Forest of Clunie, S of Loch Benachally",,,NULL,NULL,NULL,"NO","07000","49000","307000","749000","56.6235867946339","-3.51728270858136","Generic","Lengths are given in entries for individual caves.","Caves of Scotland Bibliography, p. 28.

Ordnance Gazetteer of Scotland, p. 141.",,"07000    49000    6",,,,"second","Other","2019-01-29 11:05:29","jcrae"
"4064","Pythagoras Cave","Pythagoras Cave","Invernessshire","Skye, Broadford, Torrin Road",,,NULL,NULL,NULL,"NG","63388","22267","163388","822267","57.2297773847297","-5.92196185237612","Cave",,"Bull. GSG 5th Series Vol.1 No.2 (2014) p.38",,"63388    22267    10",,,,"second","Cave","2018-05-29 11:05:57","alanj"
"676","Sron Eilean an Air Natural Arches","Sron Eilean an Air Natural Arches","Ross & Cromarty","Gairloch, Sron Eilean an Air",,,"25",NULL,NULL,"NG","73583","88934","173583","888934","57.832458512281576","-5.815474217538996","Natural Arches",,"Streetmap.

Pastmap, OS 10k background mapping.",,"NG 73607 88950 to 6 digits.
NG 73583 88934",,,,"main","Arch;SeaCave","2020-10-02 19:07:02","jcrae"
